date,open,high,low,close,volume,trade_count,vwap
2021-07-15,149.17,150.0,147.09,148.48,106632325,696568,148.44226
2021-07-16,148.53,149.76,145.88,146.39,93105141,611770,147.625718
2021-07-19,143.78,144.07,141.67,142.45,120870493,933873,142.614218
2021-07-20,143.51,147.0997,142.96,146.15,96000714,611141,145.569566
2021-07-21,145.51,146.13,144.63,145.4,74765819,471138,145.370476
2021-07-22,145.89,148.195,145.81,146.8,77280533,479699,146.99095
2021-07-23,147.5,148.7177,146.92,148.56,71340694,456134,148.037052
2021-07-26,148.2,149.83,147.7,148.99,72378282,488605,149.117949
2021-07-27,149.03,149.21,145.55,146.77,104787369,785169,146.832321
2021-07-28,144.84,146.97,142.54,144.98,118727153,827607,144.887118
2021-07-29,144.66,146.55,144.58,145.64,56571097,414821,145.806207
2021-07-30,144.49,146.33,144.11,145.86,70291908,464977,145.396798
2021-08-02,146.33,146.95,145.25,145.52,62703522,456709,145.856892
2021-08-03,145.75,148.045,145.18,147.36,64536401,460706,146.770321
2021-08-04,147.14,147.79,146.28,146.95,56295292,401836,147.04732
2021-08-05,146.91,147.84,146.17,147.06,46364733,355865,147.113032
2021-08-06,146.27,147.11,145.63,146.14,54095700,373887,146.214218
2021-08-09,146.27,146.7,145.52,146.09,48857702,351878,146.111166
2021-08-10,146.52,147.71,145.3,145.6,68980001,430863,146.126086
2021-08-11,146.01,146.72,145.53,145.86,48420536,364779,146.02267
2021-08-12,146.21,149.05,145.84,148.89,73757305,514473,148.010325
2021-08-13,149.0,149.4444,148.27,149.1,59352311,407701,148.919361
2021-08-16,148.6,151.19,146.47,151.12,103451542,703896,149.399565
2021-08-17,150.21,151.68,149.09,150.19,92080157,623047,150.247393
2021-08-18,149.82,150.72,146.15,146.36,86134246,645869,148.300785
2021-08-19,145.0,148.0,144.5,146.7,86764184,637535,146.440968
2021-08-20,147.53,148.5,146.78,148.19,60443423,412615,147.816151
2021-08-23,148.2,150.19,147.89,149.71,60040217,428027,149.48854
2021-08-24,149.5,150.86,149.15,149.62,48597949,369948,149.903488
2021-08-25,149.71,150.32,147.8,148.36,58967498,460643,148.596981
2021-08-26,148.35,149.12,147.51,147.54,48444160,380575,148.11514
2021-08-27,147.31,148.75,146.83,148.6,55642047,403948,148.123272
2021-08-30,148.98,153.49,148.61,153.12,90921486,659438,152.145794
2021-08-31,152.69,152.8,151.29,151.83,86295035,533182,152.020557
2021-09-01,152.82,154.98,152.34,152.51,80418333,592569,153.768969
2021-09-02,153.93,154.72,152.4,153.65,71130789,519643,153.610263
2021-09-03,153.88,154.63,153.09,154.3,57859730,431611,154.021736
2021-09-07,154.93,157.26,154.39,156.69,82233073,614637,156.184154
2021-09-08,156.99,157.04,153.975,155.11,74033819,594742,155.110845
2021-09-09,155.53,156.11,153.95,154.07,57258142,468891,154.850403
2021-09-10,155.0,155.48,148.7,148.97,140758247,1166803,150.998631
2021-09-13,150.55,151.42,148.75,149.55,102292319,737678,149.698907
2021-09-14,150.35,151.07,146.91,148.12,109164885,783563,148.840158
2021-09-15,148.53,149.44,146.37,149.03,83247000,618656,148.034413
2021-09-16,148.42,148.97,147.221,148.79,67955338,501051,148.151656
2021-09-17,148.69,148.82,145.76,146.06,129797801,713096,146.699381
2021-09-20,143.86,144.84,141.27,142.94,123206113,1019302,142.753253
2021-09-21,143.93,144.6,142.78,143.43,75782158,577586,143.740013
2021-09-22,144.37,146.43,143.7001,145.85,76080540,544685,145.408994
2021-09-23,146.54,147.08,145.64,146.83,64554768,470062,146.692239
2021-09-24,145.64,147.4701,145.56,146.92,53370477,399234,146.492692
2021-09-27,145.39,145.96,143.82,145.37,73963625,527668,145.107985
2021-09-28,143.13,144.75,141.69,141.91,108560452,820510,142.673141
2021-09-29,142.46,144.45,142.03,142.83,74100633,524563,143.404803
